iter	Passed	Remaining
0	163	163772
1	165	82800
2	167	55734
3	169	42147
4	170	34000
5	172	28584
6	174	24712
7	176	21829
8	177	19573
9	179	17755
10	181	16297
11	182	15062
12	184	14019
13	186	13116
14	187	12343
15	189	11669
16	191	11070
17	193	10529
18	194	10046
19	196	9624
20	197	9227
21	199	8873
22	201	8550
23	203	8255
24	204	7984
25	206	7737
26	208	7507
27	210	7296
28	211	7095
29	214	6920
30	215	6746
31	217	6584
32	219	6424
33	221	6282
34	222	6140
35	224	6018
36	227	5910
37	229	5801
38	230	5691
39	232	5587
40	234	5487
41	236	5389
42	238	5300
43	240	5214
44	242	5140
45	244	5065
46	246	4992
47	248	4920
48	250	4854
49	252	4789
50	253	4725
51	256	4667
52	257	4606
53	259	4547
54	261	4486
55	263	4438
56	265	4391
57	267	4340
58	269	4291
59	271	4245
60	272	4201
61	274	4156
62	276	4115
63	278	4075
64	280	4034
65	282	3996
66	284	3962
67	286	3932
68	289	3908
69	292	3881
70	294	3852
71	296	3819
72	298	3789
73	300	3760
74	302	3735
75	305	3708
76	307	3682
77	309	3654
78	311	3631
79	313	3607
80	316	3585
81	318	3564
82	319	3528
83	321	3505
84	323	3481
85	325	3460
86	328	3443
87	330	3422
88	332	3401
89	334	3379
90	336	3359
91	338	3341
92	340	3319
93	342	3300
94	345	3286
95	347	3270
96	349	3252
97	351	3235
98	353	3219
99	356	3204
100	358	3187
101	360	3173
102	363	3162
103	365	3147
104	367	3134
105	369	3119
106	372	3107
107	374	3094
108	376	3081
109	379	3068
110	381	3056
111	383	3041
112	385	3028
113	388	3015
114	390	3005
115	392	2994
116	394	2977
117	396	2965
118	398	2953
119	401	2941
120	403	2931
121	405	2917
122	407	2909
123	410	2896
124	412	2885
125	414	2873
126	415	2857
127	417	2844
128	420	2838
129	422	2829
130	424	2817
131	426	2806
132	428	2796
133	430	2785
134	433	2774
135	435	2764
136	437	2756
137	439	2745
138	441	2735
139	443	2725
140	445	2715
141	447	2701
142	449	2696
143	452	2689
144	454	2679
145	456	2670
146	458	2660
147	460	2651
148	463	2645
149	465	2638
150	467	2630
151	469	2621
152	472	2614
153	474	2606
154	476	2599
155	479	2593
156	481	2586
157	483	2578
158	485	2569
159	487	2560
160	489	2549
161	491	2543
162	494	2538
163	496	2531
164	498	2523
165	500	2516
166	503	2510
167	505	2503
168	507	2497
169	510	2491
170	512	2483
171	514	2477
172	517	2471
173	519	2466
174	521	2460
175	524	2454
176	526	2446
177	528	2439
178	530	2433
179	532	2427
180	535	2421
181	537	2416
182	540	2411
183	542	2405
184	544	2397
185	546	2390
186	548	2384
187	551	2380
188	553	2375
189	555	2370
190	558	2365
191	560	2359
192	563	2354
193	565	2347
194	567	2343
195	569	2337
196	572	2331
197	574	2327
198	576	2321
199	578	2315
200	580	2308
201	582	2302
202	585	2298
203	587	2293
204	589	2286
205	591	2280
206	593	2274
207	595	2268
208	598	2263
209	600	2258
210	602	2252
211	604	2247
212	607	2242
213	609	2237
214	611	2234
215	614	2231
216	617	2227
217	619	2221
218	621	2217
219	623	2211
220	628	2214
221	630	2210
222	633	2207
223	636	2205
224	638	2200
225	641	2196
226	643	2192
227	646	2187
228	648	2182
229	650	2177
230	653	2174
231	655	2170
232	658	2166
233	660	2162
234	662	2158
235	665	2153
236	667	2148
237	669	2144
238	672	2140
239	674	2135
240	676	2130
241	678	2125
242	680	2119
243	682	2115
244	684	2110
245	686	2105
246	688	2100
247	690	2095
248	693	2090
249	695	2085
250	697	2080
251	699	2075
252	701	2070
253	703	2067
254	706	2062
255	708	2057
256	710	2053
257	712	2048
258	714	2043
259	716	2039
260	718	2035
261	721	2031
262	723	2027
263	725	2022
264	727	2018
265	729	2013
266	731	2009
267	734	2005
268	736	2000
269	738	1996
270	740	1991
271	742	1987
272	744	1982
